Latitude,51.826146
Longitude,-3.6833826
Location,4091
NameEN,Craig y Nos
NameCY,Craig y Nos
StatusEN,Online
StatusCY,Ar-lein
url,rivers-and-seas.naturalresources.wales/station/4091
NGR,SN8408515510
Parameter,152
ParamNameEN,River Level
ParamNameCY,Lefel yr afon
TitleEN,Tawe at Craig y Nos
TitleCY,Afon Tawe yn Nghraig y Nos
ParameterStatusEN,Level Rising
ParameterStatusCY,Lefel codi
Units,m

Date (UTC),Value
2022-10-31 00:00:00,0.616
2022-10-31 00:15:00,0.616
2022-10-31 00:30:00,0.609
2022-10-31 00:45:00,0.609
2022-10-31 01:00:00,0.606
2022-10-31 01:15:00,0.603
2022-10-31 01:30:00,0.605
2022-10-31 01:45:00,0.602
2022-10-31 02:00:00,0.601
2022-10-31 02:15:00,0.597
2022-10-31 02:30:00,0.596
2022-10-31 02:45:00,0.595
2022-10-31 03:00:00,0.595
2022-10-31 03:15:00,0.589
2022-10-31 03:30:00,0.591
2022-10-31 03:45:00,0.591
2022-10-31 04:00:00,0.589
2022-10-31 04:15:00,0.589
2022-10-31 04:30:00,0.585
2022-10-31 04:45:00,0.584
2022-10-31 05:00:00,0.581
2022-10-31 05:15:00,0.581
2022-10-31 05:30:00,0.579
2022-10-31 05:45:00,0.584
2022-10-31 06:00:00,0.577
2022-10-31 06:15:00,0.574
2022-10-31 06:30:00,0.579
2022-10-31 06:45:00,0.58
2022-10-31 07:00:00,0.578
2022-10-31 07:15:00,0.581
2022-10-31 07:30:00,0.583
2022-10-31 07:45:00,0.585
2022-10-31 08:00:00,0.586
2022-10-31 08:15:00,0.588
2022-10-31 08:30:00,0.585
2022-10-31 08:45:00,0.578
2022-10-31 09:00:00,0.58
2022-10-31 09:15:00,0.581
2022-10-31 09:30:00,0.578
2022-10-31 09:45:00,0.577
2022-10-31 10:00:00,0.582
2022-10-31 10:15:00,0.58
2022-10-31 10:30:00,0.581
2022-10-31 10:45:00,0.582
2022-10-31 11:00:00,0.578
2022-10-31 11:15:00,0.577
2022-10-31 11:30:00,0.579
2022-10-31 11:45:00,0.578
2022-10-31 12:00:00,0.578
2022-10-31 12:15:00,0.575
2022-10-31 12:30:00,0.566
2022-10-31 12:45:00,0.566
2022-10-31 13:00:00,0.568
2022-10-31 13:15:00,0.566
2022-10-31 13:30:00,0.565
2022-10-31 13:45:00,0.563
2022-10-31 14:00:00,0.562
2022-10-31 14:15:00,0.562
2022-10-31 14:30:00,0.563
2022-10-31 14:45:00,0.557
2022-10-31 15:00:00,0.556
2022-10-31 15:15:00,0.557
2022-10-31 15:30:00,0.555
2022-10-31 15:45:00,0.557
2022-10-31 16:00:00,0.557
2022-10-31 16:15:00,0.556
2022-10-31 16:30:00,0.553
2022-10-31 16:45:00,0.552
2022-10-31 17:00:00,0.556
2022-10-31 17:15:00,0.552
2022-10-31 17:30:00,0.551
2022-10-31 17:45:00,0.552
2022-10-31 18:00:00,0.557
2022-10-31 18:15:00,0.553
2022-10-31 18:30:00,0.548
2022-10-31 18:45:00,0.552
2022-10-31 19:00:00,0.552
2022-10-31 19:15:00,0.556
2022-10-31 19:30:00,0.556
2022-10-31 19:45:00,0.559
2022-10-31 20:00:00,0.563
2022-10-31 20:15:00,0.569
2022-10-31 20:30:00,0.585
2022-10-31 20:45:00,0.611
2022-10-31 21:00:00,0.625
2022-10-31 21:15:00,0.645
2022-10-31 21:30:00,0.657
2022-10-31 21:45:00,0.665
2022-10-31 22:00:00,0.682
2022-10-31 22:15:00,0.682
2022-10-31 22:30:00,0.709
2022-10-31 22:45:00,0.726
2022-10-31 23:00:00,0.735
2022-10-31 23:15:00,0.76
2022-10-31 23:30:00,0.773
2022-10-31 23:45:00,0.789
2022-11-01 00:00:00,0.823
2022-11-01 00:15:00,0.838
2022-11-01 00:30:00,0.858
2022-11-01 00:45:00,0.874
2022-11-01 01:00:00,0.921
2022-11-01 01:15:00,0.961
2022-11-01 01:30:00,1
2022-11-01 01:45:00,1.023
2022-11-01 02:00:00,1.084
2022-11-01 02:15:00,1.091
2022-11-01 02:30:00,1.099
2022-11-01 02:45:00,1.092
2022-11-01 03:00:00,1.056
2022-11-01 03:15:00,1.036
2022-11-01 03:30:00,0.999
2022-11-01 03:45:00,0.978
2022-11-01 04:00:00,0.947
2022-11-01 04:15:00,0.931
2022-11-01 04:30:00,0.905
2022-11-01 04:45:00,0.911
2022-11-01 05:00:00,0.91
2022-11-01 05:15:00,0.908
2022-11-01 05:30:00,0.906
2022-11-01 05:45:00,0.921
2022-11-01 06:00:00,0.935
2022-11-01 06:15:00,0.968
2022-11-01 06:30:00,0.985
2022-11-01 06:45:00,0.978
2022-11-01 07:00:00,0.988
2022-11-01 07:15:00,0.977
2022-11-01 07:30:00,0.973
2022-11-01 07:45:00,0.977
2022-11-01 08:00:00,1
2022-11-01 08:15:00,1.026
2022-11-01 08:30:00,1.052
2022-11-01 08:45:00,1.065
2022-11-01 09:00:00,1.052
2022-11-01 09:15:00,1.051
2022-11-01 09:30:00,1.043
2022-11-01 09:45:00,1.023
2022-11-01 10:00:00,1.013
2022-11-01 10:15:00,0.985
2022-11-01 10:30:00,0.968
2022-11-01 10:45:00,0.959
2022-11-01 11:00:00,0.948
2022-11-01 11:15:00,0.925
2022-11-01 11:30:00,0.91
2022-11-01 11:45:00,0.911
2022-11-01 12:00:00,0.889
2022-11-01 12:15:00,0.872
2022-11-01 12:30:00,0.874
2022-11-01 12:45:00,0.864
2022-11-01 13:00:00,0.869
2022-11-01 13:15:00,0.855
2022-11-01 13:30:00,0.861
2022-11-01 13:45:00,0.877
2022-11-01 14:00:00,0.874
2022-11-01 14:15:00,0.888
2022-11-01 14:30:00,0.904
2022-11-01 14:45:00,0.926
2022-11-01 15:00:00,0.935
2022-11-01 15:15:00,0.92
2022-11-01 15:30:00,0.918
2022-11-01 15:45:00,0.905
2022-11-01 16:00:00,0.903
2022-11-01 16:15:00,0.887
2022-11-01 16:30:00,0.894
2022-11-01 16:45:00,0.891
2022-11-01 17:00:00,0.877
2022-11-01 17:15:00,0.875
2022-11-01 17:30:00,0.883
2022-11-01 17:45:00,0.9
2022-11-01 18:00:00,0.914
2022-11-01 18:15:00,0.923
2022-11-01 18:30:00,0.931
2022-11-01 18:45:00,0.937
2022-11-01 19:00:00,0.988
2022-11-01 19:15:00,1.034
2022-11-01 19:30:00,1.055
2022-11-01 19:45:00,1.056
2022-11-01 20:00:00,1.027
2022-11-01 20:15:00,1.04
2022-11-01 20:30:00,1.042
2022-11-01 20:45:00,1.022
2022-11-01 21:00:00,1.008
2022-11-01 21:15:00,1
2022-11-01 21:30:00,0.999
2022-11-01 21:45:00,0.986
2022-11-01 22:00:00,0.97
2022-11-01 22:15:00,0.959
2022-11-01 22:30:00,0.953
2022-11-01 22:45:00,0.952
2022-11-01 23:00:00,0.935
2022-11-01 23:15:00,0.923
2022-11-01 23:30:00,0.911
2022-11-01 23:45:00,0.906
2022-11-02 00:00:00,0.9
2022-11-02 00:15:00,0.891
2022-11-02 00:30:00,0.88
2022-11-02 00:45:00,0.869
2022-11-02 01:00:00,0.862
2022-11-02 01:15:00,0.852
2022-11-02 01:30:00,0.85
2022-11-02 01:45:00,0.845
2022-11-02 02:00:00,0.831
2022-11-02 02:15:00,0.824
2022-11-02 02:30:00,0.818
2022-11-02 02:45:00,0.808
2022-11-02 03:00:00,0.804
2022-11-02 03:15:00,0.795
2022-11-02 03:30:00,0.793
2022-11-02 03:45:00,0.786
2022-11-02 04:00:00,0.779
2022-11-02 04:15:00,0.775
2022-11-02 04:30:00,0.767
2022-11-02 04:45:00,0.766
2022-11-02 05:00:00,0.758
2022-11-02 05:15:00,0.76
2022-11-02 05:30:00,0.751
2022-11-02 05:45:00,0.752
2022-11-02 06:00:00,0.744
2022-11-02 06:15:00,0.749
2022-11-02 06:30:00,0.742
2022-11-02 06:45:00,0.735
2022-11-02 07:00:00,0.728
2022-11-02 07:15:00,0.726
2022-11-02 07:30:00,0.723
2022-11-02 07:45:00,0.717
2022-11-02 08:00:00,0.714
2022-11-02 08:15:00,0.709
2022-11-02 08:30:00,0.707
2022-11-02 08:45:00,0.706
2022-11-02 09:00:00,0.705
2022-11-02 09:15:00,0.702
2022-11-02 09:30:00,0.696
2022-11-02 09:45:00,0.692
2022-11-02 10:00:00,0.692
2022-11-02 10:15:00,0.685
2022-11-02 10:30:00,0.684
2022-11-02 10:45:00,0.683
2022-11-02 11:00:00,0.679
2022-11-02 11:15:00,0.676
2022-11-02 11:30:00,0.67
2022-11-02 11:45:00,0.671
2022-11-02 12:00:00,0.666
2022-11-02 12:15:00,0.665
2022-11-02 12:30:00,0.659
2022-11-02 12:45:00,0.663
2022-11-02 13:00:00,0.656
2022-11-02 13:15:00,0.657
2022-11-02 13:30:00,0.676
2022-11-02 13:45:00,0.655
2022-11-02 14:00:00,0.656
2022-11-02 14:15:00,0.655
2022-11-02 14:30:00,0.655
2022-11-02 14:45:00,0.661
2022-11-02 15:00:00,0.675
2022-11-02 15:15:00,0.684
2022-11-02 15:30:00,0.732
2022-11-02 15:45:00,0.934
2022-11-02 16:00:00,1.211
2022-11-02 16:15:00,1.447
2022-11-02 16:30:00,1.54
2022-11-02 16:45:00,1.616
2022-11-02 17:00:00,1.718
2022-11-02 17:15:00,1.814
2022-11-02 17:30:00,2.127
2022-11-02 17:45:00,2.314
2022-11-02 18:00:00,2.335
2022-11-02 18:15:00,2.297
2022-11-02 18:30:00,2.138
2022-11-02 18:45:00,1.894
2022-11-02 19:00:00,1.793
2022-11-02 19:15:00,1.685
2022-11-02 19:30:00,1.629
2022-11-02 19:45:00,1.589
2022-11-02 20:00:00,1.541
2022-11-02 20:15:00,1.516
2022-11-02 20:30:00,1.436
2022-11-02 20:45:00,1.381
2022-11-02 21:00:00,1.389
2022-11-02 21:15:00,1.395
2022-11-02 21:30:00,1.336
2022-11-02 21:45:00,1.324
2022-11-02 22:00:00,1.306
2022-11-02 22:15:00,1.296
2022-11-02 22:30:00,1.249
2022-11-02 22:45:00,1.221
2022-11-02 23:00:00,1.194
2022-11-02 23:15:00,1.166
2022-11-02 23:30:00,1.136
2022-11-02 23:45:00,1.129
2022-11-03 00:00:00,1.102
2022-11-03 00:15:00,1.079
2022-11-03 00:30:00,1.058
2022-11-03 00:45:00,1.03
2022-11-03 01:00:00,1.013
2022-11-03 01:15:00,1.007
2022-11-03 01:30:00,0.987
2022-11-03 01:45:00,0.968
2022-11-03 02:00:00,0.967
2022-11-03 02:15:00,0.951
2022-11-03 02:30:00,0.934
2022-11-03 02:45:00,0.919
2022-11-03 03:00:00,0.939
2022-11-03 03:15:00,0.909
2022-11-03 03:30:00,0.891
2022-11-03 03:45:00,0.885
2022-11-03 04:00:00,0.89
2022-11-03 04:15:00,0.883
2022-11-03 04:30:00,0.873
2022-11-03 04:45:00,0.868
2022-11-03 05:00:00,0.861
2022-11-03 05:15:00,0.851
2022-11-03 05:30:00,0.847
2022-11-03 05:45:00,0.839
2022-11-03 06:00:00,0.829
2022-11-03 06:15:00,0.829
2022-11-03 06:30:00,0.826
2022-11-03 06:45:00,0.824
2022-11-03 07:00:00,0.818
2022-11-03 07:15:00,0.828
2022-11-03 07:30:00,0.836
2022-11-03 07:45:00,0.836
2022-11-03 08:00:00,0.828
2022-11-03 08:15:00,0.828
2022-11-03 08:30:00,0.838
2022-11-03 08:45:00,0.805
2022-11-03 09:00:00,0.819
2022-11-03 09:15:00,0.805
2022-11-03 09:30:00,0.806
2022-11-03 09:45:00,0.798
2022-11-03 10:00:00,0.795
2022-11-03 10:15:00,0.793
2022-11-03 10:30:00,0.771
2022-11-03 10:45:00,0.771
2022-11-03 11:00:00,0.763
2022-11-03 11:15:00,0.765
2022-11-03 11:30:00,0.756
2022-11-03 11:45:00,0.742
2022-11-03 12:00:00,0.749
2022-11-03 12:15:00,0.754
2022-11-03 12:30:00,0.756
2022-11-03 12:45:00,0.741
2022-11-03 13:00:00,0.735
2022-11-03 13:15:00,0.731
2022-11-03 13:30:00,0.736
2022-11-03 13:45:00,0.731
2022-11-03 14:00:00,0.736
2022-11-03 14:15:00,0.735
2022-11-03 14:30:00,0.74
2022-11-03 14:45:00,0.762
2022-11-03 15:00:00,0.791
2022-11-03 15:15:00,0.811
2022-11-03 15:30:00,0.853
2022-11-03 15:45:00,0.862
2022-11-03 16:00:00,0.868
2022-11-03 16:15:00,0.862
2022-11-03 16:30:00,0.86
2022-11-03 16:45:00,0.845
2022-11-03 17:00:00,0.844
2022-11-03 17:15:00,0.856
2022-11-03 17:30:00,0.838
2022-11-03 17:45:00,0.853
2022-11-03 18:00:00,0.856
2022-11-03 18:15:00,0.855
2022-11-03 18:30:00,0.868
2022-11-03 18:45:00,0.902
2022-11-03 19:00:00,0.907
2022-11-03 19:15:00,0.926
2022-11-03 19:30:00,0.947
2022-11-03 19:45:00,0.974
2022-11-03 20:00:00,1.028
2022-11-03 20:15:00,1.069
2022-11-03 20:30:00,1.138
2022-11-03 20:45:00,1.179
2022-11-03 21:00:00,1.194
2022-11-03 21:15:00,1.188
2022-11-03 21:30:00,1.186
2022-11-03 21:45:00,1.173
2022-11-03 22:00:00,1.134
2022-11-03 22:15:00,1.136
2022-11-03 22:30:00,1.126
2022-11-03 22:45:00,1.107
2022-11-03 23:00:00,1.081
2022-11-03 23:15:00,1.074
2022-11-03 23:30:00,1.063
2022-11-03 23:45:00,1.041
2022-11-04 00:00:00,1.012
2022-11-04 00:15:00,1.007
2022-11-04 00:30:00,0.977
2022-11-04 00:45:00,0.979
2022-11-04 01:00:00,0.971
2022-11-04 01:15:00,0.948
2022-11-04 01:30:00,0.934
2022-11-04 01:45:00,0.934
2022-11-04 02:00:00,0.932
2022-11-04 02:15:00,0.93
2022-11-04 02:30:00,0.891
2022-11-04 02:45:00,0.902
2022-11-04 03:00:00,0.902
2022-11-04 03:15:00,0.891
2022-11-04 03:30:00,0.87
2022-11-04 03:45:00,0.853
2022-11-04 04:00:00,0.854
2022-11-04 04:15:00,0.85
2022-11-04 04:30:00,0.842
2022-11-04 04:45:00,0.829
2022-11-04 05:00:00,0.819
2022-11-04 05:15:00,0.824
2022-11-04 05:30:00,0.823
2022-11-04 05:45:00,0.816
2022-11-04 06:00:00,0.791
2022-11-04 06:15:00,0.783
2022-11-04 06:30:00,0.786
2022-11-04 06:45:00,0.779
2022-11-04 07:00:00,0.771
2022-11-04 07:15:00,0.775
2022-11-04 07:30:00,0.758
2022-11-04 07:45:00,0.754
2022-11-04 08:00:00,0.751
2022-11-04 08:15:00,0.737
2022-11-04 08:30:00,0.73
2022-11-04 08:45:00,0.73
2022-11-04 09:00:00,0.722
2022-11-04 09:15:00,0.724
2022-11-04 09:30:00,0.723
2022-11-04 09:45:00,0.697
2022-11-04 10:00:00,0.705
2022-11-04 10:15:00,0.7
2022-11-04 10:30:00,0.692
2022-11-04 10:45:00,0.696
2022-11-04 11:00:00,0.699
2022-11-04 11:15:00,0.684
2022-11-04 11:30:00,0.687
2022-11-04 11:45:00,0.691
2022-11-04 12:00:00,0.68
2022-11-04 12:15:00,0.671
2022-11-04 12:30:00,0.663
2022-11-04 12:45:00,0.671
2022-11-04 13:00:00,0.669
2022-11-04 13:15:00,0.659
2022-11-04 13:30:00,0.672
2022-11-04 13:45:00,0.657
2022-11-04 14:00:00,0.662
2022-11-04 14:15:00,0.658
2022-11-04 14:30:00,0.659
2022-11-04 14:45:00,0.658
2022-11-04 15:00:00,0.656
2022-11-04 15:15:00,0.653
2022-11-04 15:30:00,0.645
2022-11-04 15:45:00,0.642
2022-11-04 16:00:00,0.645
2022-11-04 16:15:00,0.639
2022-11-04 16:30:00,0.646
2022-11-04 16:45:00,0.645
2022-11-04 17:00:00,0.631
2022-11-04 17:15:00,0.635
2022-11-04 17:30:00,0.631
2022-11-04 17:45:00,0.631
2022-11-04 18:00:00,0.624
2022-11-04 18:15:00,0.625
2022-11-04 18:30:00,0.631
2022-11-04 18:45:00,0.623
2022-11-04 19:00:00,0.626
2022-11-04 19:15:00,0.625
2022-11-04 19:30:00,0.621
2022-11-04 19:45:00,0.617
2022-11-04 20:00:00,0.619
2022-11-04 20:15:00,0.619
2022-11-04 20:30:00,0.618
2022-11-04 20:45:00,0.614
2022-11-04 21:00:00,0.611
2022-11-04 21:15:00,0.617
2022-11-04 21:30:00,0.613
2022-11-04 21:45:00,0.607
2022-11-04 22:00:00,0.612
2022-11-04 22:15:00,0.61
2022-11-04 22:30:00,0.607
2022-11-04 22:45:00,0.6
2022-11-04 23:00:00,0.603
2022-11-04 23:15:00,0.602
2022-11-04 23:30:00,0.595
2022-11-04 23:45:00,0.603
2022-11-05 00:00:00,0.602
2022-11-05 00:15:00,0.594
2022-11-05 00:30:00,0.592
2022-11-05 00:45:00,0.601
2022-11-05 01:00:00,0.594
2022-11-05 01:15:00,0.589
2022-11-05 01:30:00,0.599
2022-11-05 01:45:00,0.597
2022-11-05 02:00:00,0.589
2022-11-05 02:15:00,0.589
2022-11-05 02:30:00,0.596
2022-11-05 02:45:00,0.592
2022-11-05 03:00:00,0.588
2022-11-05 03:15:00,0.587
2022-11-05 03:30:00,0.588
2022-11-05 03:45:00,0.588
2022-11-05 04:00:00,0.589
2022-11-05 04:15:00,0.595
2022-11-05 04:30:00,0.591
2022-11-05 04:45:00,0.585
2022-11-05 05:00:00,0.591
2022-11-05 05:15:00,0.589
2022-11-05 05:30:00,0.595
2022-11-05 05:45:00,0.6
2022-11-05 06:00:00,0.606
2022-11-05 06:15:00,0.614
2022-11-05 06:30:00,0.622
2022-11-05 06:45:00,0.62
2022-11-05 07:00:00,0.623
2022-11-05 07:15:00,0.622
2022-11-05 07:30:00,0.649
2022-11-05 07:45:00,0.632
2022-11-05 08:00:00,0.646
2022-11-05 08:15:00,0.658
2022-11-05 08:30:00,0.667
2022-11-05 08:45:00,0.685
2022-11-05 09:00:00,0.689
2022-11-05 09:15:00,0.713
2022-11-05 09:30:00,0.726
2022-11-05 09:45:00,0.746
2022-11-05 10:00:00,0.762
2022-11-05 10:15:00,0.771
2022-11-05 10:30:00,0.779
2022-11-05 10:45:00,0.779
2022-11-05 11:00:00,0.794
2022-11-05 11:15:00,0.796
2022-11-05 11:30:00,0.786
2022-11-05 11:45:00,0.779
2022-11-05 12:00:00,0.796
2022-11-05 12:15:00,0.805
2022-11-05 12:30:00,0.816
2022-11-05 12:45:00,0.84
2022-11-05 13:00:00,0.855
2022-11-05 13:15:00,0.907
2022-11-05 13:30:00,0.937
2022-11-05 13:45:00,0.955
2022-11-05 14:00:00,0.96
2022-11-05 14:15:00,0.985
2022-11-05 14:30:00,0.99
2022-11-05 14:45:00,0.999
2022-11-05 15:00:00,1.012
2022-11-05 15:15:00,1.008
2022-11-05 15:30:00,1.016
2022-11-05 15:45:00,1.002
2022-11-05 16:00:00,0.983
2022-11-05 16:15:00,0.966
2022-11-05 16:30:00,0.959
2022-11-05 16:45:00,0.948
2022-11-05 17:00:00,0.936
2022-11-05 17:15:00,0.942
2022-11-05 17:30:00,0.913
2022-11-05 17:45:00,0.909
2022-11-05 18:00:00,0.9
2022-11-05 18:15:00,0.894
2022-11-05 18:30:00,0.892
2022-11-05 18:45:00,0.872
2022-11-05 19:00:00,0.87
2022-11-05 19:15:00,0.852
2022-11-05 19:30:00,0.848
2022-11-05 19:45:00,0.852
2022-11-05 20:00:00,0.834
2022-11-05 20:15:00,0.823
2022-11-05 20:30:00,0.813
2022-11-05 20:45:00,0.806
2022-11-05 21:00:00,0.809
2022-11-05 21:15:00,0.794
2022-11-05 21:30:00,0.786
2022-11-05 21:45:00,0.781
2022-11-05 22:00:00,0.779
2022-11-05 22:15:00,0.767
2022-11-05 22:30:00,0.761
2022-11-05 22:45:00,0.756
2022-11-05 23:00:00,0.748
2022-11-05 23:15:00,0.738
2022-11-05 23:30:00,0.732
2022-11-05 23:45:00,0.721
2022-11-06 00:00:00,0.723
2022-11-06 00:15:00,0.713
2022-11-06 00:30:00,0.706
2022-11-06 00:45:00,0.695
2022-11-06 01:00:00,0.691
2022-11-06 01:15:00,0.688
2022-11-06 01:30:00,0.689
2022-11-06 01:45:00,0.675
2022-11-06 02:00:00,0.674
2022-11-06 02:15:00,0.672
2022-11-06 02:30:00,0.667
2022-11-06 02:45:00,0.672
2022-11-06 03:00:00,0.659
